Duplicate country Mali detected; merging states/cities
Duplicate country Malta detected; merging states/cities
Duplicate country Marshall Islands detected; merging states/cities
Duplicate country Mauritania detected; merging states/cities
Duplicate country Mauritius detected; merging states/cities
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Duplicate country Andorra detected; merging states/cities
Duplicate country Angola detected; merging states/cities
Duplicate country Antigua and Barbuda detected; merging states/cities
Duplicate country Argentina detected; merging states/cities
Duplicate country Armenia detected; merging states/cities
Duplicate country Australia detected; merging states/cities
Duplicate country Austria detected; merging states/cities
Duplicate country Azerbaijan detected; merging states/cities
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
Missing country name; entry dropped
SUMMARY: 201 countries, 3233 states/regions, 27494 cities after sanitization.
Merged duplicate country entries for: andorra, angola, antigua and barbuda, argentina, armenia, australia, austria, azerbaijan, mali, malta, marshall islands, mauritania, mauritius
