,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Category,Title,Description,Image,Country,State,City,Contact Email,Contact Phone,Ad Duration,Price,Price Type,Condition,Brand/Model,Year,Mileage,Property Type,Bedrooms,Bathrooms,Job Type,Service Type,Event Date,Venue,Pet Type,Breed,Age,Author,Genre,Instrument Type,Digital Format,Lesson Type,Repair Type,Pickup Location,Notice Type,Auction End
Electronics,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cars & Trucks,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycles,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boats & Marine,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVs & Campers,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houses for Sale,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartments for Rent,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Property,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vacation Rentals,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jobs,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Services,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fashion,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home & Garden,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sports,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Books,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pets,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food & Dining,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel & Resorts,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals & Offers,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tickets,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Events & Shows,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auction,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy & Sell,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notices,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Beauty,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby & Kids,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts & Crafts,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Musical Instruments,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Supplies,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Products,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software & Apps,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutoring & Lessons,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Repair,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
